Date,Company,Sector,Transcript,Sentiment_Score
2025-02-17,Microsoft,Technology,"Revenue grew by 26% this quarter, driven by strong demand in Technology.",0.43
2024-12-03,Bank of America,Finance,Market volatility due to global economic conditions remains a concern.,0.03
2024-08-27,Goldman Sachs,Finance,Our new product line in 46 is seeing exceptional early adoption.,0.3
2024-09-15,Pfizer,Healthcare,We are expanding aggressively into 10 markets to capitalize on industry growth.,0.0
2024-10-15,Morgan Stanley,Finance,"Revenue grew by 48% this quarter, driven by strong demand in Finance.",0.43
2024-03-25,Apple,Technology,We are seeing growing consumer interest in 12 due to macroeconomic trends.,-0.12
2024-10-09,Morgan Stanley,Finance,Our new product line in 10 is seeing exceptional early adoption.,0.3
2024-11-23,Goldman Sachs,Finance,34 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-05-18,Moderna,Healthcare,34 is leading the sector with record-breaking earnings this year.,0.0
2024-12-18,Amazon,Retail,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-08-02,Shell,Energy,Market volatility due to global economic conditions remains a concern.,0.03
2024-07-15,JPMorgan,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-09-27,Meta,Technology,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2025-02-28,Tesla,Technology,23 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-04-28,Gilead Sciences,Healthcare,We are seeing growing consumer interest in 47 due to macroeconomic trends.,-0.12
2024-07-05,Chevron,Energy,Increased regulation in 46 is creating new challenges for our business model.,0.14
2024-04-08,JPMorgan,Finance,Market volatility due to global economic conditions remains a concern.,0.03
2024-07-10,Morgan Stanley,Finance,Our new product line in 36 is seeing exceptional early adoption.,0.3
2024-10-28,Bank of America,Finance,39 is leading the sector with record-breaking earnings this year.,0.0
2024-03-20,Google,Technology,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-08-30,Target,Retail,17 is leading the sector with record-breaking earnings this year.,0.0
2024-09-16,Pfizer,Healthcare,43 is leading the sector with record-breaking earnings this year.,0.0
2024-11-15,Amazon,Technology,Increased regulation in 17 is creating new challenges for our business model.,0.14
2024-11-05,Bank of America,Finance,16 is investing heavily in AI and automation to enhance efficiency.,-0.2
