Trader_Type,Transaction_Type,Stock_Symbol,Trade_Volume,Sentiment_Score,Price_Impact,Transaction_Date
Retail Investor,Buy,GOOGL,49,0.47,0.01,2021-04-02
Insider,Buy,GOOGL,9089,0.77,0.79,2022-06-27
Retail Investor,Sell,AAPL,448,-0.66,-0.03,2023-07-31
Insider,Buy,META,7890,0.84,0.68,2020-07-22
Whale,Sell,AMZN,943724,-0.81,-183.85,2022-11-18
Retail Investor,Sell,NVDA,286,-0.46,-0.02,2020-11-24
Insider,Buy,ETH,5887,0.72,0.87,2019-10-16
Whale,Buy,TSLA,34985,0.62,3.14,2020-08-30
Insider,Buy,BTC,6650,0.71,0.66,2020-10-09
Retail Investor,Buy,BTC,415,0.21,0.02,2021-06-07
Retail Investor,Buy,BTC,161,0.32,0.01,2022-02-07
Insider,Buy,META,9431,0.47,0.44,2022-09-24
Insider,Sell,NVDA,8062,-0.33,-0.66,2021-02-20
Insider,Buy,AMZN,1782,0.35,0.04,2019-12-28
Insider,Sell,META,3042,-0.28,-0.11,2020-07-04
Retail Investor,Sell,NVDA,93,-0.66,-0.01,2019-03-21
Insider,Sell,BTC,7309,-0.44,-0.72,2023-05-05
Insider,Sell,AMZN,3464,-0.77,-0.23,2023-12-22
Insider,Sell,TSLA,1276,-0.3,-0.11,2020-08-23
Whale,Buy,AMZN,341905,0.21,16.27,2021-11-29
Whale,Buy,BTC,598867,0.85,119.17,2019-12-21
Retail Investor,Buy,SPY,182,0.59,0.0,2020-04-25
Retail Investor,Buy,NVDA,52,0.57,0.0,2021-10-01
Retail Investor,Sell,AAPL,189,-0.85,-0.02,2023-12-24
Whale,Sell,META,726739,-0.88,-145.94,2022-09-30
Whale,Sell,AAPL,241065,-0.61,-18.27,2019-06-17
Insider,Buy,AAPL,8831,0.4,0.2,2022-04-13
Insider,Sell,META,6410,-0.74,-1.33,2021-12-18
Insider,Buy,MSFT,3223,0.43,0.11,2023-12-21
Whale,Buy,AAPL,785148,0.4,54.44,2020-02-27
Insider,Sell,SPY,9180,-0.5,-1.03,2022-04-19
Retail Investor,Buy,META,417,0.54,0.04,2023-01-06
Insider,Sell,NVDA,9929,-0.35,-0.24,2019-12-01
Insider,Sell,AMZN,7997,-0.6,-1.08,2024-01-16
Retail Investor,Buy,NVDA,330,0.81,0.07,2021-05-21
Whale,Sell,TSLA,96234,-0.39,-8.58,2019-06-27
Whale,Buy,NVDA,608755,0.8,35.73,2023-03-04
Retail Investor,Sell,BTC,188,-0.31,-0.01,2022-05-14
Whale,Buy,ETH,73974,0.41,5.76,2023-04-02
Whale,Sell,GOOGL,464969,-0.79,-20.84,2020-07-09
Insider,Buy,SPY,3553,0.59,0.6,2022-02-04
Retail Investor,Sell,GOOGL,41,-0.25,-0.0,2020-07-04
Insider,Sell,TSLA,8865,-0.89,-2.37,2023-06-11
Insider,Buy,AAPL,1260,0.86,0.09,2022-11-22
Retail Investor,Sell,TSLA,247,-0.64,-0.04,2021-12-10
Whale,Buy,GOOGL,648413,0.88,104.95,2019-11-13
Retail Investor,Sell,META,72,-0.52,-0.0,2021-11-15
Retail Investor,Buy,META,3,0.32,0.0,2023-10-17
Whale,Sell,GOOGL,631430,-0.21,-3.57,2021-08-31
Retail Investor,Buy,SPY,117,0.59,0.01,2019-02-15
Whale,Buy,NVDA,907809,0.74,31.73,2021-04-20
Insider,Buy,TSLA,8940,0.84,0.98,2022-05-06
Insider,Sell,AMZN,3346,-0.38,-0.12,2022-04-18
Retail Investor,Buy,TSLA,240,0.85,0.03,2020-05-03
Whale,Buy,BTC,521694,0.55,82.5,2021-09-10
Whale,Sell,META,161536,-0.26,-8.53,2020-02-01
Insider,Buy,AMZN,3590,0.88,0.26,2023-06-22
Retail Investor,Sell,META,411,-0.22,-0.03,2023-12-12
Whale,Buy,NVDA,205271,0.79,28.79,2020-01-20
Whale,Buy,META,261485,0.36,10.61,2022-02-26
Retail Investor,Sell,TSLA,235,-0.41,-0.02,2023-07-05
Whale,Sell,ETH,303028,-0.89,-43.05,2020-08-08
Insider,Buy,SPY,6483,0.77,0.93,2024-02-15
Retail Investor,Sell,TSLA,481,-0.24,-0.03,2020-08-23
Whale,Buy,TSLA,255725,0.39,3.65,2023-09-28
Retail Investor,Sell,SPY,92,-0.79,-0.0,2023-06-19
Insider,Buy,META,9266,0.85,1.32,2019-08-15
Whale,Sell,BTC,575347,-0.37,-17.14,2019-05-06
Retail Investor,Buy,GOOGL,418,0.28,0.02,2023-08-18
Retail Investor,Buy,META,499,0.33,0.01,2019-06-18
Whale,Buy,ETH,808740,0.74,62.78,2019-10-13
Retail Investor,Buy,ETH,25,0.85,0.0,2020-01-10
Insider,Sell,MSFT,1143,-0.6,-0.18,2021-10-13
Retail Investor,Buy,SPY,62,0.82,0.01,2019-04-24
Insider,Sell,AAPL,3603,-0.66,-0.31,2021-06-12
Retail Investor,Buy,NVDA,157,0.7,0.01,2020-10-12
Whale,Buy,META,671825,0.32,41.88,2021-09-15
Retail Investor,Buy,NVDA,144,0.57,0.02,2019-07-24
Retail Investor,Buy,ETH,449,0.33,0.01,2021-07-21
Retail Investor,Sell,TSLA,21,-0.66,-0.0,2021-09-16
Insider,Buy,META,1830,0.53,0.11,2023-03-20
Insider,Sell,AAPL,8331,-0.53,-0.29,2023-12-05
Insider,Buy,AAPL,5740,0.24,0.31,2022-12-17
Retail Investor,Sell,AAPL,26,-0.49,-0.0,2023-06-16
Whale,Sell,GOOGL,622602,-0.24,-17.94,2023-05-24
Insider,Buy,MSFT,2434,0.7,0.06,2020-09-17
Whale,Sell,BTC,670100,-0.84,-25.69,2020-01-11
Retail Investor,Buy,META,379,0.89,0.08,2020-10-14
Insider,Sell,AMZN,3247,-0.54,-0.36,2020-02-29
Retail Investor,Buy,AMZN,175,0.32,0.0,2019-02-05
Insider,Buy,SPY,3288,0.57,0.12,2020-02-24
Retail Investor,Buy,GOOGL,378,0.24,0.0,2021-05-06
Insider,Sell,AMZN,9500,-0.82,-1.17,2020-09-27
Whale,Buy,NVDA,915481,0.86,31.48,2022-09-05
Retail Investor,Buy,NVDA,377,0.57,0.05,2022-08-20
Whale,Buy,SPY,711344,0.36,55.6,2023-07-23
Insider,Buy,AMZN,6252,0.47,0.33,2022-11-20
Insider,Sell,META,4190,-0.48,-0.25,2021-06-06
Whale,Buy,NVDA,671562,0.77,23.76,2020-03-17
Retail Investor,Buy,GOOGL,495,0.68,0.08,2021-07-12
Insider,Buy,BTC,2861,0.39,0.18,2023-03-25
